"No.","Time","Source","Destination","Protocol","Length","Info"
"1579","92.606679","10.192.157.113","10.192.157.147","DNS","337","Standard query response 0xbe9b AAAA opt.doubao.com CNAME opt.doubao.com.bytedns3.com CNAME opt.doubao.com.c.dsa.cdnbuild.net CNAME l7-online-self-max-v6.s.dsa.cdnbuild.net AAAA 2408:876c:240:118::b00:82 AAAA 2408:876c:240:118::b00:113 AAAA 2408:876c:240:118::b00:131 AAAA 2408:876c:240:118::b00:135 AAAA 2408:876c:240:118::b00:68"
"1582","92.609075","10.192.157.113","10.192.157.147","DNS","277","Standard query response 0x0ad9 A opt.doubao.com CNAME opt.doubao.com.bytedns3.com CNAME opt.doubao.com.c.dsa.cdnbuild.net CNAME l7-online-self-max-v6.s.dsa.cdnbuild.net A 180.130.240.236 A 180.130.240.209 A 180.130.240.216 A 180.130.240.229 A 180.130.240.230"
"1584","92.639247","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","357","Standard query response 0xbe9b AAAA opt.doubao.com CNAME opt.doubao.com.bytedns3.com CNAME opt.doubao.com.c.dsa.cdnbuild.net CNAME l7-online-self-max-v6.s.dsa.cdnbuild.net AAAA 2408:876c:240:118::b00:131 AAAA 2408:876c:240:118::b00:135 AAAA 2408:876c:240:118::b00:68 AAAA 2408:876c:240:118::b00:82 AAAA 2408:876c:240:118::b00:113"
"1585","92.639247","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","297","Standard query response 0x0ad9 A opt.doubao.com CNAME opt.doubao.com.bytedns3.com CNAME opt.doubao.com.c.dsa.cdnbuild.net CNAME l7-online-self-max-v6.s.dsa.cdnbuild.net A 180.130.240.209 A 180.130.240.216 A 180.130.240.229 A 180.130.240.230 A 180.130.240.236"
"1642","99.672630","10.192.157.147","10.192.157.113","DNS","79","Standard query 0xd42b AAAA pc-mon.zijieapi.com"
"1643","99.680470","10.192.157.113","10.192.157.147","DNS","226","Standard query response 0xd42b AAAA pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com"
"1677","99.914437","10.192.157.147","10.192.157.113","DNS","79","Standard query 0x0413 A mssdk.bytedance.com"
"1678","99.915087","10.192.157.147","10.192.157.113","DNS","79","Standard query 0x3f6c AAAA mssdk.bytedance.com"
"1685","99.953185","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","99","Standard query 0x3f6c AAAA mssdk.bytedance.com"
"1686","99.953185","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","99","Standard query 0x0413 A mssdk.bytedance.com"
"1692","99.957044","10.192.157.113","10.192.157.147","DNS","209","Standard query response 0x3f6c AAAA mssdk.bytedance.com CNAME mssdk.bytedance.com.bytedns1.com CNAME mssdk.bytedance.com.w.cdngslb.com CNAME mssdk.bytedance.com.queniukw.com"
"1693","99.957044","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","238","Standard query response 0x3f6c AAAA mssdk.bytedance.com CNAME mssdk.bytedance.com.bytedns1.com CNAME mssdk.bytedance.com.w.cdngslb.com CNAME mssdk.bytedance.com.queniukw.com"
